datetime,interactions,distance_mm,user_flag
2026-07-01T19:10:38.447Z,21,75,false
2026-07-01T19:10:39.066Z,22,75,false
2026-07-01T19:10:39.956Z,28,75,false
2026-07-01T19:10:55.634Z,31,75,false
2026-07-01T19:11:17.436Z,36,75,false
2026-07-01T19:11:19.823Z,0,75,false
2026-07-01T19:11:21.943Z,1,75,false
2026-07-01T19:11:23.904Z,,,true
2026-07-01T19:11:24.927Z,2,75,false
2026-07-01T19:11:37.490Z,28,75,false
2026-07-01T19:11:58.298Z,28,75,false
2026-07-01T19:12:19.728Z,28,77,false
2026-07-01T19:12:20.606Z,0,77,false
2026-07-01T19:12:41.893Z,0,77,false
2026-07-01T19:13:03.484Z,0,77,false
2026-07-01T19:13:24.128Z,0,77,false
2026-07-01T19:13:44.802Z,0,77,false
2026-07-01T19:14:06.740Z,0,77,false
2026-07-01T19:14:28.294Z,0,77,false
2026-07-01T19:14:49.592Z,0,77,false
2026-07-01T19:15:11.469Z,0,77,false
2026-07-01T19:15:32.153Z,0,77,false
2026-07-01T19:16:14.768Z,0,77,false
2026-07-01T19:16:36.181Z,0,77,false
2026-07-01T19:16:57.482Z,0,76,false
2026-07-01T19:17:18.164Z,0,76,false
2026-07-01T19:17:24.159Z,20,76,false
2026-07-01T19:17:25.660Z,22,76,false
2026-07-01T19:17:27.159Z,24,76,false
2026-07-01T19:17:39.347Z,24,76,false
2026-07-01T19:18:01.022Z,32,76,false
2026-07-01T19:18:22.198Z,0,76,false
2026-07-01T19:18:45.137Z,25,76,false
2026-07-01T19:18:51.802Z,29,76,false
2026-07-01T19:18:52.665Z,30,76,false
2026-07-01T19:19:04.673Z,30,76,false
2026-07-01T19:19:09.179Z,31,76,false
2026-07-01T19:19:25.851Z,0,76,false
2026-07-01T19:19:47.787Z,0,76,false
2026-07-01T19:20:08.458Z,0,75,false
2026-07-01T19:20:15.948Z,2,75,false
2026-07-01T19:20:29.768Z,7,75,false
2026-07-01T19:20:53.060Z,7,75,false
2026-07-01T19:21:13.135Z,7,76,false
2026-07-01T19:21:21.113Z,0,76,false
2026-07-01T19:21:35.794Z,2,76,false
2026-07-01T19:21:56.345Z,2,77,false
2026-07-01T19:22:17.022Z,2,77,false
2026-07-01T19:22:20.166Z,0,77,false
2026-07-01T19:22:39.071Z,1,77,false
2026-07-01T19:22:45.062Z,5,77,false
2026-07-01T19:22:45.947Z,7,77,false
2026-07-01T19:22:46.577Z,9,77,false
2026-07-01T19:22:46.617Z,,,true
2026-07-01T19:22:47.464Z,13,77,false
2026-07-01T19:22:59.814Z,26,77,false
2026-07-01T19:23:03.066Z,28,77,false
2026-07-01T19:23:20.480Z,28,77,false
2026-07-01T19:23:21.980Z,0,77,false
2026-07-01T19:23:25.232Z,3,77,false
2026-07-01T19:23:25.856Z,5,77,false
2026-07-01T19:23:42.042Z,5,80,false
2026-07-01T19:24:02.839Z,5,81,false
2026-07-01T19:24:24.640Z,2,81,false
2026-07-01T19:24:25.651Z,3,81,false
2026-07-01T19:24:26.529Z,4,81,false
2026-07-01T19:24:45.446Z,4,81,false
2026-07-01T19:25:06.872Z,9,82,false
2026-07-01T19:25:28.304Z,0,82,false
2026-07-01T19:25:49.597Z,0,81,false
2026-07-01T19:26:12.026Z,0,81,false
2026-07-01T19:26:33.215Z,0,82,false
2026-07-01T19:26:53.514Z,0,82,false
2026-07-01T19:27:14.817Z,0,81,false
2026-07-01T19:27:36.986Z,0,82,false
2026-07-01T19:27:57.163Z,0,82,false
2026-07-01T19:28:19.215Z,0,81,false
2026-07-01T19:28:39.896Z,0,81,false
2026-07-01T19:29:03.189Z,0,81,false
2026-07-01T19:29:22.380Z,0,81,false
2026-07-01T19:29:43.676Z,0,81,false
2026-07-01T19:30:26.285Z,0,80,false
2026-07-01T19:30:48.448Z,0,80,false
2026-07-01T19:31:09.763Z,0,80,false
2026-07-01T19:31:30.446Z,0,80,false
2026-07-01T19:31:31.073Z,3,80,false
2026-07-01T19:31:31.946Z,4,80,false
2026-07-01T19:32:13.666Z,4,80,false
2026-07-01T19:32:21.438Z,0,80,false
2026-07-01T19:32:34.097Z,0,80,false
2026-07-01T19:32:56.146Z,0,80,false
2026-07-01T19:33:17.458Z,0,81,false
2026-07-01T19:33:38.885Z,0,81,false
2026-07-01T19:33:59.573Z,0,81,false
2026-07-01T19:34:20.868Z,0,81,false
2026-07-01T19:34:42.165Z,0,81,false
2026-07-01T19:35:03.220Z,0,81,false
2026-07-01T19:35:25.652Z,0,80,false
2026-07-01T19:35:45.953Z,0,80,false
2026-07-01T19:36:07.502Z,0,80,false
2026-07-01T19:36:28.434Z,0,80,false
2026-07-01T19:36:50.357Z,0,80,false
2026-07-01T19:37:11.915Z,0,80,false
2026-07-01T19:37:32.969Z,0,80,false
2026-07-01T19:38:15.562Z,18,80,false
2026-07-01T19:38:17.946Z,35,80,false
2026-07-01T19:38:19.445Z,36,80,false
2026-07-01T19:38:21.549Z,6,80,false
2026-07-01T19:38:23.680Z,23,80,false
2026-07-01T19:38:37.749Z,31,80,false
2026-07-01T19:38:42.195Z,,,true
2026-07-01T19:38:42.247Z,33,80,false
2026-07-01T19:38:42.863Z,34,80,false
2026-07-01T19:38:44.368Z,38,80,false
2026-07-01T19:38:45.860Z,39,80,false
2026-07-01T19:38:57.552Z,47,80,false
2026-07-01T19:39:19.735Z,47,80,false
2026-07-01T19:39:21.246Z,0,80,false
2026-07-01T19:39:28.754Z,5,80,false
2026-07-01T19:39:40.526Z,21,81,false
2026-07-01T19:39:41.148Z,22,81,false
2026-07-01T19:39:42.640Z,23,81,false
2026-07-01T19:39:43.527Z,24,81,false
2026-07-01T19:40:01.832Z,69,82,false
2026-07-01T19:40:03.329Z,75,82,false
2026-07-01T19:40:11.430Z,77,82,false
2026-07-01T19:40:23.375Z,13,82,false
2026-07-01T19:40:24.005Z,18,82,false
2026-07-01T19:40:24.881Z,24,82,false
2026-07-01T19:40:25.513Z,26,82,false
2026-07-01T19:40:26.380Z,30,82,false
2026-07-01T19:40:27.899Z,34,82,false
2026-07-01T19:40:29.380Z,36,82,false
2026-07-01T19:40:30.884Z,39,82,false
2026-07-01T19:40:46.194Z,57,82,false
2026-07-01T19:41:05.364Z,58,82,false
2026-07-01T19:41:08.379Z,60,82,false
2026-07-01T19:41:27.539Z,0,82,false
